Time [ms], Peak Frequency [Hz], Duty Cycle, Energy, WindowRMS
1505233886465,8605.95703125,0.8474428397784035,6.24270911466606,0.028104218653932454
1505233886466,8605.95703125,0.8584390103306724,6.4008662877723035,0.02824884609218341
1505233886467,8605.95703125,0.8498884906641867,6.658815263873714,0.0281007210156028
1505233886468,8605.95703125,0.8176468259969617,6.987466691982324,0.027531695275381015
1505233886470,8605.95703125,0.7706530341195941,7.259984600783521,0.02670666334491237
1505233886471,8605.95703125,0.6582264486563993,7.329636389626861,0.024059432030131455
1505233886472,8605.95703125,0.6146791206291692,7.124397781103381,0.022211666476017525
1505233886473,8605.95703125,0.5649179007661618,6.71926777564595,0.020262756989813092
1505233886474,8605.95703125,0.588015745281435,6.264601215861804,0.018660911274248102
1505233886475,8605.95703125,0.6795008034790018,5.934294436121176,0.018065920489526974
1505233886476,8605.95703125,0.6658033548266077,5.864270856680372,0.018134771988349393
1505233886477,8605.95703125,0.5628964366073606,6.058366312351336,0.01899513944543153
1505233886478,8605.95703125,0.5832282597713488,6.364427124281355,0.02030550177713432
1505233886479,8605.95703125,0.5680904180417479,6.568818167315439,0.02201440500606093
1505233886480,8605.95703125,0.608702968298884,6.514122172880751,0.023756916575245025
1505233886481,8605.95703125,0.6338532928333058,6.198648353772923,0.025327161502341794
1505233886482,8605.95703125,0.6788970076006312,5.722212795627676,0.02692676757602528
1505233886483,8605.95703125,0.7259511658226295,5.17934538349585,0.02841702396499043
1505233886485,8605.95703125,0.7775638512543663,4.649523813270073,0.029805058225942434
1505233886486,8605.95703125,0.8850125635033326,4.196967754316524,0.03193694572599807
1505233886487,8605.95703125,0.9161751085415636,3.8723754080326818,0.03236001213872302
1505233886488,8605.95703125,0.9215571073021527,3.738986533638108,0.032418540115241395
1505233886489,8605.95703125,0.9082089893529851,3.87838865811621,0.03229774813873435
1505233886490,8605.95703125,0.8790845308073533,4.342543037988977,0.03198414497618435
1505233886491,8605.95703125,0.8458151833846745,5.0946990539408255,0.03147146829256537
1505233886492,8605.95703125,0.810595043273374,5.98771239926663,0.030812826267774842
1505233886493,8605.95703125,0.7705806826815969,6.889821832449759,0.02989683902555095
1505233886494,8605.95703125,0.7258061238098676,7.719401876549382,0.02861413611919952
1505233886495,8605.95703125,0.684274082095355,8.41930728565263,0.02719550634347981
1505233886496,8605.95703125,0.6485131680599294,8.91756443597062,0.025761224778736068
1505233886497,8605.95703125,0.6589695996399333,9.121673020480488,0.02468431090558104
1505233886498,8605.95703125,0.6612454124264215,8.941672163302082,0.02395894992782944
1505233886499,8605.95703125,0.6568990688720295,8.356116436048827,0.02374735197741275
1505233886500,8605.95703125,0.6225707786103012,7.448691403302116,0.023929121927440167
1505233886500,8605.95703125,0.5996197249216503,6.395841956416162,0.02448463545806162
1505233886501,8605.95703125,0.5996197249216503,5.430656145052402,0.02448463545806162
1505233886502,8605.95703125,0.621524773372477,4.759318145292626,0.025630598078937722
1505233886503,8605.95703125,0.6430104160449612,4.451344715944529,0.02703283886452271
1505233886504,8605.95703125,0.6880867241964124,4.412740202349182,0.028610082085547592
1505233886505,8605.95703125,0.7373614650846437,4.492961013955282,0.029860873207563463
1505233886506,8605.95703125,0.7896111900039285,4.599935886078172,0.030920875859842635
1505233886507,8605.95703125,0.8320894443555382,4.719170221055386,0.03166725564049894
1505233886508,8605.95703125,0.8621921964033674,4.846765529906805,0.032207218038366056
1505233886509,8605.95703125,0.8803807079794942,4.948348602241777,0.03249149525744072
1505233886510,8605.95703125,0.8824625242834018,4.9628613906466805,0.03252421731232246
1505233886511,8605.95703125,0.8692035683989046,4.864373307088079,0.03237312990047494
1505233886513,8605.95703125,0.8375396142464372,4.67470090525083,0.03195846415502668
1505233886514,8605.95703125,0.7700061210309782,4.43380800421455,0.030583328590545092
1505233886515,8605.95703125,0.7390309105352033,4.212785991203779,0.02965961819090102
1505233886516,8605.95703125,0.7085788762113827,4.080582179910008,0.028524972903654532
1505233886517,8605.95703125,0.6860752553924674,4.041561326847819,0.027562280065264268
1505233886518,8605.95703125,0.6638966848579025,4.031274787667391,0.026493246411860953
1505233886519,8605.95703125,0.665472834365173,3.983488035318015,0.025639155111321036
1505233886520,8605.95703125,0.6661326095455762,3.9053919681946385,0.0254902894318021
1505233886521,8605.95703125,0.7041369967646484,3.8831826799024864,0.026063676357796724
1505233886522,8605.95703125,0.7074492956519635,4.01625183669654,0.026736676957589
1505233886523,8605.95703125,0.7259898704970646,4.315741713010289,0.02751449390420697
1505233886524,8605.95703125,0.7454425007146416,4.674237372321625,0.02823657182259732
1505233886525,8605.95703125,0.7632555074486799,4.9222746957342896,0.028774670474302527
1505233886526,8605.95703125,0.7821200351546468,4.914858834356792,0.02920643336779147
1505233886527,8605.95703125,0.8019563086069653,4.603555144844546,0.02954821641470426
1505233886528,8605.95703125,0.8266975736517018,4.066754369725002,0.02983554300222503
1505233886529,8605.95703125,0.8430353593119129,3.491433456838777,0.029997827447364546
1505233886530,8605.95703125,0.8396385369770117,3.068957406723019,0.029972740599895187
1505233886531,8605.95703125,0.8187725199481484,2.9335143293669628,0.029765506977081645
1505233886532,8605.95703125,0.7882966912339879,3.1386186947530366,0.02935772524069915
1505233886533,8605.95703125,0.7550591954109148,3.6554785594114874,0.028711653500974776
1505233886534,8605.95703125,0.717496686297357,4.395676111782745,0.02782931174712593
1505233886535,8605.95703125,0.6809871650269195,5.2082464705471185,0.026786488342395616
1505233886536,8605.95703125,0.6416815615926882,5.910399583445331,0.025453550427442892
